multiculturalism,Multikulturalität
festival,Fest 
to light,(Kerze) anzünden 
to march,marschieren
candle,kerze
dragon,Drache
lantern,Laterne
pipe band,Dudelsackspieler
New Year,Neujahr
lion,Löwe
display,Vorführung
parade,Parade
march,Marsch
ceilidh,geselliges Beisammensein mit Musik und Tanz 
midsummer,Sommersonnenwende
cuisine,Küche
craft,Handwerk
refugee,Flüchtling
coast,Küste
to separate,trennen
violent,heftig
given name,Vorname
soldier,Soldat
to kick sth down,etw eintreten 
to wave sth around,mit etw herumfuchteln 
rifle,Gewehr
to drag,zerren
to force,zwingen
facing sth,gegen etw,mit dem Gesicht zu etwas 
to be in command,das Kommando führen 
inch,Zoll
to shudder,erschaudern
fear,Angst
to tremble,beben
to look on,zusehen
terrified,entsetzt
to shoot,schießen
bullet,Kugel
to scream,schreien
peace,Frieden
to raise sth,etw anheben 
to point sth at sb,etw auf jdn richten 
traitor,Verräter
enemy,Feind
forehead,Stirn
mongrel,Bastard
to drop ones voice,die Stimme senken 
equally,gleichermaßen
safety,Sicherheit
authority,Behörde
welcoming,gastfreundlich
evil,böse,schlecht 
border,Grenze
body,Leichnam
law,justiz
kind,freundlich
to arrest,verhaften
detention centre,Auffanglager
homeless,obdachlos
unpleasant,unangenehm
court,Gerichtshof
basket,Korb
amount,Menge
tinned,in Dosen 
checkout,Kasse
counter,Schalter
to drop oney eyes,den Blick senken 
deal,Abmachung
wallet,Brieftasche
voucher,Gutschein
asylum seeker,Asylbewerber
change,Wechselgeld
queue,Warteschlange
courtroom,Gerichtssaal
to humilate,demütigen
meanwhile,inzwischen
to file,feilen
nail,Nagel
to comb,kämmen
exhibition,Ausstellung
humilation,Demütigung
proud,stolz
penny,Penny
to reduce sb to sth,auf etw hinauslaufen 
to amount to sth,auf etw hinauslaufen 
to live off aid,von Sozialhilfe level 
to wonder,sich fragen 
mathematican,Mathematiker
promising,vielversprechend
airline,Fluglinie
silently,still
to shake ones head,den Kopf schütteln 
in disgust,angewidert
to shuffle,schlurfen
line ,Reihe
down the line,weiter
death,Tod